
1701941900267 :: history :: {'symbol': 'NSE:ICICIGI-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941900478 :: {'s': 'error', 'code': -300, 'message': ''}

1701941901017 :: history :: {'symbol': 'NSE:ICICIPRULI-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941901261 :: {'s': 'error', 'code': -300, 'message': ''}

1701941901775 :: history :: {'symbol': 'NSE:IEX-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941902024 :: {'s': 'error', 'code': -300, 'message': ''}

1701941902560 :: history :: {'symbol': 'NSE:IGL-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941902763 :: {'s': 'error', 'code': -300, 'message': ''}

1701941903278 :: history :: {'symbol': 'NSE:INDIACEM-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941903484 :: {'s': 'error', 'code': -300, 'message': ''}

1701941904013 :: history :: {'symbol': 'NSE:INDIAMART-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941904230 :: {'s': 'error', 'code': -300, 'message': ''}

1701941904768 :: history :: {'symbol': 'NSE:INDUSTOWER-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941904978 :: {'s': 'error', 'code': -300, 'message': ''}

1701941905511 :: history :: {'symbol': 'NSE:INTELLECT-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941905721 :: {'s': 'error', 'code': -300, 'message': ''}

1701941906254 :: history :: {'symbol': 'NSE:IOC-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941906465 :: {'s': 'error', 'code': -300, 'message': ''}

1701941906975 :: history :: {'symbol': 'NSE:IPCALAB-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941907204 :: {'s': 'error', 'code': -300, 'message': ''}

1701941907720 :: history :: {'symbol': 'NSE:IRCTC-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941907922 :: {'s': 'error', 'code': -300, 'message': ''}

